Mês/Ano,Região,Estado,Produto,Quantidade (m³)
05/2024,CENTRO OESTE,Goiás,ÁCIDO GRAXO DE ÓLEO DE SOJA,"294,856"
05/2024,CENTRO OESTE,Mato Grosso,ÁCIDO GRAXO DE ÓLEO DE SOJA,"1229,945"
05/2024,SUDESTE,São Paulo,ÁCIDO GRAXO DE ÓLEO DE SOJA,"113,636"
05/2024,CENTRO OESTE,Goiás,GORDURA BOVINA,"10025,841"
05/2024,CENTRO OESTE,Mato Grosso,GORDURA BOVINA,"762,368"
05/2024,NORDESTE,Bahia,GORDURA BOVINA,"6772,386"
05/2024,NORTE,Pará,GORDURA BOVINA,"7537,674"
05/2024,NORTE,Rondônia,GORDURA BOVINA,"6630,297"
05/2024,SUDESTE,Minas Gerais,GORDURA BOVINA,"403,688"
05/2024,SUL,Paraná,GORDURA BOVINA,"3186,075"
05/2024,SUL,Rio Grande do Sul,GORDURA BOVINA,"9422,203"
05/2024,SUL,Paraná,GORDURA DE FRANGO,"758,012"
05/2024,SUL,Rio Grande do Sul,GORDURA DE FRANGO,"206,638"
05/2024,CENTRO OESTE,Goiás,GORDURA DE PORCO,"6089,650"
05/2024,SUDESTE,Rio de Janeiro,GORDURA DE PORCO,"7852,756"
05/2024,SUL,Paraná,GORDURA DE PORCO,"477,781"
05/2024,SUL,Rio Grande do Sul,GORDURA DE PORCO,"2928,044"
05/2024,CENTRO OESTE,Goiás,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"1387,980"
05/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"3683,181"
05/2024,NORDESTE,Bahia,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"2328,735"
05/2024,SUL,Rio Grande do Sul,ÓLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS),"404,615"
05/2024,NORDESTE,Bahia,ÓLEO DE FRITURA USADO,"1788,539"
05/2024,NORTE,Pará,ÓLEO DE FRITURA USADO,"275,900"
05/2024,NORTE,Tocantins,ÓLEO DE FRITURA USADO,"148,261"
05/2024,SUDESTE,Rio de Janeiro,ÓLEO DE FRITURA USADO,"4395,826"
05/2024,SUDESTE,São Paulo,ÓLEO DE FRITURA USADO,"53,177"
05/2024,SUL,Paraná,ÓLEO DE FRITURA USADO,"452,146"
05/2024,SUL,Rio Grande do Sul,ÓLEO DE FRITURA USADO,"919,767"
05/2024,CENTRO OESTE,Goiás,ÓLEO DE MILHO,"827,174"
05/2024,SUDESTE,São Paulo,ÓLEO DE MILHO,"141,800"
05/2024,SUL,Paraná,ÓLEO DE MILHO,"1098,433"
05/2024,NORDESTE,Bahia,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"203,308"
05/2024,NORTE,Pará,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"1322,583"
05/2024,CENTRO OESTE,Goiás,ÓLEO DE SOJA (GLYCINE MAX),"74526,290"
05/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE SOJA (GLYCINE MAX),"148916,674"
05/2024,CENTRO OESTE,Mato Grosso do Sul,ÓLEO DE SOJA (GLYCINE MAX),"24004,837"
05/2024,NORDESTE,Bahia,ÓLEO DE SOJA (GLYCINE MAX),"43485,697"
05/2024,NORDESTE,Piauí,ÓLEO DE SOJA (GLYCINE MAX),"6493,235"
05/2024,NORTE,Pará,ÓLEO DE SOJA (GLYCINE MAX),"5964,486"
05/2024,NORTE,Rondônia,ÓLEO DE SOJA (GLYCINE MAX),"332,831"
05/2024,NORTE,Tocantins,ÓLEO DE SOJA (GLYCINE MAX),"14741,415"
05/2024,SUDESTE,Rio de Janeiro,ÓLEO DE SOJA (GLYCINE MAX),"41,008"
05/2024,SUDESTE,São Paulo,ÓLEO DE SOJA (GLYCINE MAX),"8376,239"
05/2024,SUL,Paraná,ÓLEO DE SOJA (GLYCINE MAX),"75110,723"
05/2024,SUL,Rio Grande do Sul,ÓLEO DE SOJA (GLYCINE MAX),"122200,335"
05/2024,SUL,Santa Catarina,ÓLEO DE SOJA (GLYCINE MAX),"18677,394"
05/2024,CENTRO OESTE,Goiás,OUTROS MATERIAIS GRAXOS,"16708,114"
05/2024,CENTRO OESTE,Mato Grosso,OUTROS MATERIAIS GRAXOS,"8231,363"
05/2024,NORDESTE,Bahia,OUTROS MATERIAIS GRAXOS,"5363,576"
05/2024,NORTE,Pará,OUTROS MATERIAIS GRAXOS,"332,819"
05/2024,NORTE,Tocantins,OUTROS MATERIAIS GRAXOS,"1382,770"
05/2024,SUDESTE,Minas Gerais,OUTROS MATERIAIS GRAXOS,"5463,239"
05/2024,SUDESTE,Rio de Janeiro,OUTROS MATERIAIS GRAXOS,"1268,472"
05/2024,SUDESTE,São Paulo,OUTROS MATERIAIS GRAXOS,"15214,046"
05/2024,SUL,Paraná,OUTROS MATERIAIS GRAXOS,"22076,079"
05/2024,SUL,Rio Grande do Sul,OUTROS MATERIAIS GRAXOS,"9187,385"
05/2024,SUL,Santa Catarina,OUTROS MATERIAIS GRAXOS,"14282,884"
04/2024,CENTRO OESTE,Goiás,ÁCIDO GRAXO DE ÓLEO DE SOJA,"397,116"
04/2024,CENTRO OESTE,Mato Grosso,ÁCIDO GRAXO DE ÓLEO DE SOJA,"875,525"
04/2024,SUDESTE,São Paulo,ÁCIDO GRAXO DE ÓLEO DE SOJA,"66,898"
04/2024,CENTRO OESTE,Goiás,GORDURA BOVINA,"8568,340"
04/2024,CENTRO OESTE,Mato Grosso,GORDURA BOVINA,"43,331"
04/2024,NORDESTE,Bahia,GORDURA BOVINA,"7960,716"
04/2024,NORTE,Pará,GORDURA BOVINA,"5953,209"
04/2024,NORTE,Rondônia,GORDURA BOVINA,"5672,964"
04/2024,SUL,Paraná,GORDURA BOVINA,"1665,913"
04/2024,SUL,Rio Grande do Sul,GORDURA BOVINA,"9665,308"
04/2024,SUL,Paraná,GORDURA DE FRANGO,"3258,741"
04/2024,SUL,Rio Grande do Sul,GORDURA DE FRANGO,"267,993"
04/2024,CENTRO OESTE,Goiás,GORDURA DE PORCO,"4280,603"
04/2024,SUDESTE,Rio de Janeiro,GORDURA DE PORCO,"4316,760"
04/2024,SUL,Paraná,GORDURA DE PORCO,"342,605"
04/2024,SUL,Rio Grande do Sul,GORDURA DE PORCO,"2669,403"
04/2024,CENTRO OESTE,Goiás,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"2910,019"
04/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"2843,759"
