Mês/Ano,Região,Produção de Biodiesel
11/2023,NORDESTE,"55304,174"
11/2023,NORTE / CENTRO OESTE,"292519,349"
11/2023,SUDESTE,"43089,126"
11/2023,SUL,"299288,351"
10/2023,NORDESTE,"52442,220"
10/2023,NORTE / CENTRO OESTE,"326346,638"
10/2023,SUDESTE,"38987,319"
10/2023,SUL,"290269,870"
09/2023,NORDESTE,"57404,475"
09/2023,NORTE / CENTRO OESTE,"295954,295"
09/2023,SUDESTE,"36452,971"
09/2023,SUL,"285071,846"
08/2023,NORDESTE,"58716,386"
08/2023,NORTE / CENTRO OESTE,"324510,632"
08/2023,SUDESTE,"37995,138"
08/2023,SUL,"286558,428"
07/2023,NORDESTE,"58281,090"
07/2023,NORTE / CENTRO OESTE,"329497,617"
07/2023,SUDESTE,"40234,913"
07/2023,SUL,"289376,863"
06/2023,NORDESTE,"49976,963"
06/2023,NORTE / CENTRO OESTE,"302720,497"
06/2023,SUDESTE,"29536,936"
06/2023,SUL,"275022,664"
05/2023,NORDESTE,"51348,243"
05/2023,NORTE / CENTRO OESTE,"299937,588"
05/2023,SUDESTE,"29858,977"
05/2023,SUL,"267613,069"
04/2023,NORDESTE,"44102,440"
04/2023,NORTE / CENTRO OESTE,"241023,796"
04/2023,SUDESTE,"39386,917"
04/2023,SUL,"253900,450"
03/2023,NORDESTE,"51205,649"
03/2023,NORTE / CENTRO OESTE,"241346,619"
03/2023,SUDESTE,"32367,930"
03/2023,SUL,"227782,313"
02/2023,NORDESTE,"41727,155"
02/2023,NORTE / CENTRO OESTE,"198984,327"
02/2023,SUDESTE,"29652,442"
02/2023,SUL,"185087,958"
01/2023,NORDESTE,"52547,551"
01/2023,NORTE / CENTRO OESTE,"176805,458"
01/2023,SUDESTE,"33710,328"
01/2023,SUL,"191886,140"
12/2022,NORDESTE,"54714,456"
12/2022,NORTE / CENTRO OESTE,"200660,110"
12/2022,SUDESTE,"33697,796"
12/2022,SUL,"208402,726"
11/2022,NORDESTE,"50628,533"
11/2022,NORTE / CENTRO OESTE,"212374,436"
11/2022,SUDESTE,"35506,518"
11/2022,SUL,"220699,036"
10/2022,NORDESTE,"50874,278"
10/2022,NORTE / CENTRO OESTE,"256246,466"
10/2022,SUDESTE,"37014,712"
10/2022,SUL,"225198,690"
09/2022,NORDESTE,"59314,362"
09/2022,NORTE / CENTRO OESTE,"226784,291"
09/2022,SUDESTE,"38672,519"
09/2022,SUL,"225071,371"
08/2022,NORDESTE,"62949,483"
08/2022,NORTE / CENTRO OESTE,"254134,103"
08/2022,SUDESTE,"41346,778"
08/2022,SUL,"224422,754"
07/2022,NORDESTE,"60859,946"
07/2022,NORTE / CENTRO OESTE,"242342,094"
07/2022,SUDESTE,"37200,824"
07/2022,SUL,"228356,675"
06/2022,NORDESTE,"58415,272"
06/2022,NORTE / CENTRO OESTE,"196210,718"
06/2022,SUDESTE,"38348,731"
06/2022,SUL,"214893,743"
05/2022,NORDESTE,"51881,207"
05/2022,NORTE / CENTRO OESTE,"199843,658"
05/2022,SUDESTE,"42120,002"
05/2022,SUL,"242252,086"
04/2022,NORDESTE,"52669,720"
04/2022,NORTE / CENTRO OESTE,"184860,017"
04/2022,SUDESTE,"36548,676"
04/2022,SUL,"205591,950"
03/2022,NORDESTE,"43918,328"
03/2022,NORTE / CENTRO OESTE,"195947,607"
03/2022,SUDESTE,"34803,700"
03/2022,SUL,"225526,029"
02/2022,NORDESTE,"41889,274"
02/2022,NORTE / CENTRO OESTE,"200848,354"
02/2022,SUDESTE,"36125,567"
02/2022,SUL,"210651,199"
01/2022,NORDESTE,"43475,224"
01/2022,NORTE / CENTRO OESTE,"151375,327"
01/2022,SUDESTE,"36814,544"
01/2022,SUL,"222226,380"
12/2021,NORDESTE,"43596,962"
12/2021,NORTE / CENTRO OESTE,"192992,202"
12/2021,SUDESTE,"32662,179"
12/2021,SUL,"256643,637"
11/2021,NORDESTE,"38131,297"
