Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Autorizada (m³/d),Capacidade Processamento(m³/d),Volume Processado  (m³/d),FUE (%)
11/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"384000,000",188
11/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"19,000",0
11/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"29075,000",182
11/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,30000,84000,"23839,000",79
11/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"125553,000",114
11/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"11188,000",37
10/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"385145,000",189
10/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"17,000",0
10/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"28972,000",181
10/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,30000,84000,"26740,000",89
10/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"140526,000",128
10/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"16273,000",54
09/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"383238,000",188
09/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"14,000",0
09/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"28484,000",178
09/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,30000,84000,"23810,000",79
09/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"138911,000",126
09/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"15493,000",52
08/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"397119,000",195
08/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"3,000",0
08/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"28635,000",179
08/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,30000,84000,"29549,000",98
08/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"146695,000",133
08/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"12930,000",43
07/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"403565,000",198
07/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"2,000",0
07/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"28933,000",181
07/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,30000,84000,"26544,000",88
07/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"152892,000",139
07/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"9205,000",31
06/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"392669,000",192
06/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"3,000",0
06/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"26873,000",168
06/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,30000,84000,"27857,000",93
06/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"150966,000",137
06/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"15541,000",52
05/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"393751,000",193
05/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"3,000",0
05/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"28774,000",180
05/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,30000,84000,"944,000",3
05/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"172323,000",157
05/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"16298,000",54
04/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"410954,000",201
04/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"2,000",0
04/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"24021,000",150
04/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,30000,84000,"0,000",0
04/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"174104,000",158
04/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"5243,000",17
03/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"432395,000",212
03/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"2,000",0
03/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"10656,000",67
03/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,30000,84000,"0,000",0
03/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"190154,000",173
03/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"17169,000",57
02/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"455876,000",223
02/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"3,000",0
02/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"18139,000",113
02/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"184478,000",168
02/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"18224,000",61
01/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"406630,000",199
01/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"2,000",0
01/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"12994,000",81
01/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"171498,000",156
01/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"15552,000",52
12/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"417237,000",205
12/2022,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"3,000",0
12/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"13629,000",85
12/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"167111,000",152
12/2022,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"13892,000",46
11/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"432929,000",212
11/2022,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"1,000",0
11/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"14097,000",88
