Data,Razão Social,CNPJ,Região,Estado,Município,Capacidade Produção Etanol Anidro (m³/d),Capacidade Produção Etanol Hidratado (m³/d)
01/08/2024,CARAMURU ALIMENTOS  S/A,00080671002668,CENTRO OESTE,Mato Grosso,SORRISO,0,50
01/08/2024,DESTILARIA DE ÁLCOOL LIBRA LTDA - EM RECUPERAÇÃO JUDICIAL,00297598000122,CENTRO OESTE,Mato Grosso,SAO JOSE DO RIO CLARO,600,600
01/08/2024,CENTRAL ENERGETICA VALE DO SAPUCAI LTDA,00372496000124,SUDESTE,São Paulo,PATROCINIO PAULISTA,517,900
01/08/2024,DENUSA DESTILARIA NOVA UNIAO S/A - EM RECUPERACAO JUDICIAL,00595322000120,CENTRO OESTE,Goiás,JANDAIA,450,650
01/08/2024,SANTA CRUZ ACUCAR E ALCOOL LTDA,00738822000255,NORDESTE,Bahia,SANTA CRUZ CABRALIA,200,240
01/08/2024,CJ SELECTA S.A.,00969790000541,SUDESTE,Minas Gerais,ARAGUARI,0,35
01/08/2024,WD AGROINDUSTRIAL LTDA,01105558000102,SUDESTE,Minas Gerais,JOAO PINHEIRO,220,450
01/08/2024,USINA RIO VERDE LTDA EM RECUPERACAO JUDICIAL,02043917000107,CENTRO OESTE,Goiás,RIO VERDE,120,330
01/08/2024,T.G. AGRO INDUSTRIAL LTDA.,02126558000143,NORDESTE,Maranhão,ALDEIAS ALTAS,200,420
01/08/2024,VALE VERDE EMPREENDIMENTOS AGRICOLAS LTDA EM RECUPERACAO JUDICIAL,02414858000390,NORDESTE,Rio Grande do Norte,BAIA FORMOSA,360,460
01/08/2024,VALE VERDE EMPREENDIMENTOS AGRICOLAS LTDA EM RECUPERACAO JUDICIAL,02414858000470,CENTRO OESTE,Goiás,ITAPACI,500,980
01/08/2024,VALE VERDE EMPREENDIMENTOS AGRICOLAS LTDA EM RECUPERACAO JUDICIAL,02414858000632,CENTRO OESTE,Goiás,ITAPURANGA,180,350
01/08/2024,USINA GOIANESIA S/A,02460988000105,CENTRO OESTE,Goiás,GOIANESIA,130,200
01/08/2024,JALLES MACHADO S.A.,02635522000195,CENTRO OESTE,Goiás,GOIANESIA,800,860
01/08/2024,JALLES MACHADO S.A.,02635522004930,CENTRO OESTE,Goiás,GOIANESIA,0,900
