Mês/Ano,Região,Estado,Produto,Quantidade Processada (t)
12/2023,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"12687,380"
12/2023,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"1376857,927"
12/2023,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"14160,000"
12/2023,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"1907661,919"
12/2023,NORDESTE,Alagoas,CANA DE AÇÚCAR,"381099,787"
12/2023,NORDESTE,Bahia,CANA DE AÇÚCAR,"86339,950"
12/2023,NORDESTE,Paraíba,CANA DE AÇÚCAR,"651336,562"
12/2023,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"226868,177"
12/2023,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"191080,699"
12/2023,NORDESTE,Sergipe,CANA DE AÇÚCAR,"249229,000"
12/2023,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"23236,800"
12/2023,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"841195,615"
12/2023,SUDESTE,São Paulo,CANA DE AÇÚCAR,"8619338,086"
12/2023,SUL,Paraná,CANA DE AÇÚCAR,"471329,440"
12/2023,CENTRO OESTE,Goiás,MELAÇO,"1037,129"
12/2023,CENTRO OESTE,Mato Grosso do Sul,MELAÇO,"7506,685"
12/2023,NORDESTE,Alagoas,MELAÇO,"145452,149"
12/2023,NORDESTE,Paraíba,MELAÇO,"6069,278"
12/2023,NORDESTE,Pernambuco,MELAÇO,"91296,039"
12/2023,NORDESTE,Rio Grande do Norte,MELAÇO,"12530,390"
12/2023,NORDESTE,Sergipe,MELAÇO,"13629,514"
12/2023,SUDESTE,Minas Gerais,MELAÇO,"68735,929"
12/2023,SUDESTE,São Paulo,MELAÇO,"279040,296"
12/2023,CENTRO OESTE,Goiás,MILHO,"177155,888"
12/2023,CENTRO OESTE,Mato Grosso,MILHO,"914574,687"
12/2023,CENTRO OESTE,Mato Grosso do Sul,MILHO,"171436,445"
12/2023,SUDESTE,São Paulo,MILHO,"2139,545"
12/2023,SUL,Paraná,MILHO,"6462,803"
12/2023,CENTRO OESTE,Goiás,OUTRAS MATÉRIAS - PRIMAS,"14660,013"
12/2023,SUDESTE,Minas Gerais,OUTRAS MATÉRIAS - PRIMAS,"4305,591"
12/2023,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"3862,439"
12/2023,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"935,000"
12/2023,SUL,Rio Grande do Sul,OUTRAS MATÉRIAS - PRIMAS,"7,331"
11/2023,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"11858,530"
11/2023,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"3978115,963"
11/2023,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"381990,923"
11/2023,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"2894491,126"
11/2023,NORDESTE,Alagoas,CANA DE AÇÚCAR,"342453,995"
11/2023,NORDESTE,Bahia,CANA DE AÇÚCAR,"381010,450"
11/2023,NORDESTE,Maranhão,CANA DE AÇÚCAR,"64162,700"
