Mês/Ano,Região,Estado,Produção Etanol Hidratado(m³/d),Produção Etanol Anidro (m³/d)
11/2023,CENTRO OESTE,Goiás,301449,96747
11/2023,CENTRO OESTE,Mato Grosso,307677,123933
11/2023,CENTRO OESTE,Mato Grosso do Sul,220769,93924
11/2023,NORDESTE,Alagoas,41025,34143
11/2023,NORDESTE,Bahia,26851,11904
11/2023,NORDESTE,Maranhão,148,5695
11/2023,NORDESTE,Paraíba,24970,33938
11/2023,NORDESTE,Pernambuco,29254,20762
11/2023,NORDESTE,Piauí,1100,6081
11/2023,NORDESTE,Rio Grande do Norte,15004,7484
11/2023,NORDESTE,Sergipe,10128,3163
11/2023,NORTE,Amazonas,1708,
11/2023,NORTE,Pará,3076,4088
11/2023,NORTE,Tocantins,1752,2582
11/2023,SUDESTE,Espírito Santo,3166,4846
11/2023,SUDESTE,Minas Gerais,166441,110086
11/2023,SUDESTE,Rio de Janeiro,3200,
11/2023,SUDESTE,São Paulo,792974,579515
11/2023,SUL,Paraná,50083,39890
11/2023,SUL,Rio Grande do Sul,2,
10/2023,CENTRO OESTE,Goiás,477040,142712
10/2023,CENTRO OESTE,Mato Grosso,368919,190928
10/2023,CENTRO OESTE,Mato Grosso do Sul,249647,141428
10/2023,NORDESTE,Alagoas,31365,39419
10/2023,NORDESTE,Bahia,36817,19291
10/2023,NORDESTE,Maranhão,3514,18566
10/2023,NORDESTE,Paraíba,17888,39448
10/2023,NORDESTE,Pernambuco,23080,23849
10/2023,NORDESTE,Piauí,1221,7364
10/2023,NORDESTE,Rio Grande do Norte,14359,8332
10/2023,NORDESTE,Sergipe,8538,3059
10/2023,NORTE,Amazonas,2628,
10/2023,NORTE,Pará,2555,2817
10/2023,NORTE,Tocantins,10079,12997
10/2023,SUDESTE,Espírito Santo,998,9341
10/2023,SUDESTE,Minas Gerais,221150,163074
10/2023,SUDESTE,Rio de Janeiro,7314,
10/2023,SUDESTE,São Paulo,828820,655275
10/2023,SUL,Paraná,64887,60369
10/2023,SUL,Rio Grande do Sul,3,
09/2023,CENTRO OESTE,Goiás,612648,169834
09/2023,CENTRO OESTE,Mato Grosso,332502,229349
09/2023,CENTRO OESTE,Mato Grosso do Sul,321685,117070
09/2023,NORDESTE,Alagoas,20321,8161
09/2023,NORDESTE,Bahia,32744,18945
09/2023,NORDESTE,Maranhão,6638,27077
09/2023,NORDESTE,Paraíba,18331,35077
09/2023,NORDESTE,Pernambuco,14714,9004
09/2023,NORDESTE,Piauí,2239,7085
09/2023,NORDESTE,Rio Grande do Norte,10066,7809
09/2023,NORDESTE,Sergipe,3740,186
09/2023,NORTE,Amazonas,1465,
09/2023,NORTE,Pará,2579,4502
09/2023,NORTE,Tocantins,9287,18065
09/2023,SUDESTE,Espírito Santo,732,10654
09/2023,SUDESTE,Minas Gerais,291077,182137
09/2023,SUDESTE,Rio de Janeiro,14559,
09/2023,SUDESTE,São Paulo,1072690,850379
09/2023,SUL,Paraná,63116,97578
09/2023,SUL,Rio Grande do Sul,3,
08/2023,CENTRO OESTE,Goiás,665496,167493
08/2023,CENTRO OESTE,Mato Grosso,346609,227672
08/2023,CENTRO OESTE,Mato Grosso do Sul,378912,119057
08/2023,NORDESTE,Alagoas,855,
08/2023,NORDESTE,Bahia,32894,22560
08/2023,NORDESTE,Maranhão,6067,28060
08/2023,NORDESTE,Paraíba,15038,28780
08/2023,NORDESTE,Pernambuco,6230,353
08/2023,NORDESTE,Piauí,2945,7167
08/2023,NORDESTE,Rio Grande do Norte,6011,5877
08/2023,NORTE,Amazonas,1004,
08/2023,NORTE,Pará,2317,7117
08/2023,NORTE,Tocantins,13317,18165
08/2023,SUDESTE,Espírito Santo,1285,11111
08/2023,SUDESTE,Minas Gerais,303552,207886
08/2023,SUDESTE,Rio de Janeiro,19136,
08/2023,SUDESTE,São Paulo,1135715,911934
08/2023,SUL,Paraná,63437,113819
08/2023,SUL,Rio Grande do Sul,2,
07/2023,CENTRO OESTE,Goiás,658603,204608
07/2023,CENTRO OESTE,Mato Grosso,326237,253123
07/2023,CENTRO OESTE,Mato Grosso do Sul,376958,147575
07/2023,NORDESTE,Bahia,28224,25163
07/2023,NORDESTE,Maranhão,5522,27427
07/2023,NORDESTE,Paraíba,5192,627
07/2023,NORDESTE,Piauí,5245,4603
07/2023,NORTE,Pará,1886,7506
07/2023,NORTE,Tocantins,13061,18646
07/2023,SUDESTE,Espírito Santo,1385,10841
07/2023,SUDESTE,Minas Gerais,308189,205967
07/2023,SUDESTE,Rio de Janeiro,19991,
07/2023,SUDESTE,São Paulo,1075795,947062
07/2023,SUL,Paraná,72780,121228
07/2023,SUL,Rio Grande do Sul,3,
06/2023,CENTRO OESTE,Goiás,523622,206200
06/2023,CENTRO OESTE,Mato Grosso,322690,219175
06/2023,CENTRO OESTE,Mato Grosso do Sul,243159,167188
06/2023,NORDESTE,Bahia,29577,23820
06/2023,NORDESTE,Maranhão,1808,21360
06/2023,NORDESTE,Piauí,1567,541
06/2023,NORTE,Pará,2435,5699
06/2023,NORTE,Tocantins,9255,14878
06/2023,SUDESTE,Espírito Santo,1188,12737
06/2023,SUDESTE,Minas Gerais,241665,201894
06/2023,SUDESTE,Rio de Janeiro,14257,
06/2023,SUDESTE,São Paulo,795637,772012
06/2023,SUL,Paraná,58094,96618
06/2023,SUL,Rio Grande do Sul,0,
05/2023,CENTRO OESTE,Goiás,497053,157108
05/2023,CENTRO OESTE,Mato Grosso,328143,194021
05/2023,CENTRO OESTE,Mato Grosso do Sul,281040,166670
05/2023,NORDESTE,Alagoas,14882,6303
05/2023,NORDESTE,Bahia,24664,15492
05/2023,NORDESTE,Maranhão,6,8447
05/2023,NORDESTE,Paraíba,1762,432
05/2023,NORDESTE,Pernambuco,427,2143
05/2023,NORDESTE,Sergipe,452,
05/2023,NORTE,Pará,705,143
05/2023,NORTE,Tocantins,9245,16567
05/2023,SUDESTE,Espírito Santo,1869,9319
05/2023,SUDESTE,Minas Gerais,244869,179264
05/2023,SUDESTE,Rio de Janeiro,3590,
05/2023,SUDESTE,São Paulo,963244,896185
05/2023,SUL,Paraná,71932,100365
04/2023,CENTRO OESTE,Goiás,194057,57769
04/2023,CENTRO OESTE,Mato Grosso,264346,112920
04/2023,CENTRO OESTE,Mato Grosso do Sul,175146,68368
04/2023,NORDESTE,Alagoas,24475,22350
04/2023,NORDESTE,Bahia,17550,5350
04/2023,NORDESTE,Maranhão,,353
04/2023,NORDESTE,Paraíba,6737,6904
04/2023,NORDESTE,Pernambuco,9882,6181
04/2023,NORDESTE,Sergipe,6588,620
04/2023,NORTE,Tocantins,14609,6134
04/2023,SUDESTE,Espírito Santo,244,6032
04/2023,SUDESTE,Minas Gerais,118802,49951
04/2023,SUDESTE,São Paulo,422190,249437
04/2023,SUL,Paraná,44469,50767
03/2023,CENTRO OESTE,Goiás,57301,15474
03/2023,CENTRO OESTE,Mato Grosso,204355,116795
03/2023,CENTRO OESTE,Mato Grosso do Sul,75460,59056
03/2023,NORDESTE,Alagoas,24125,35963
03/2023,NORDESTE,Bahia,609,
03/2023,NORDESTE,Paraíba,14007,15606
03/2023,NORDESTE,Pernambuco,16889,23412
03/2023,NORDESTE,Rio Grande do Norte,4764,3131
03/2023,NORDESTE,Sergipe,9755,2720
03/2023,NORTE,Tocantins,4070,
03/2023,SUDESTE,Minas Gerais,10470,6066
03/2023,SUDESTE,São Paulo,84648,20871
03/2023,SUL,Paraná,4886,10692
03/2023,SUL,Rio Grande do Sul,3,
02/2023,CENTRO OESTE,Goiás,19756,4132
02/2023,CENTRO OESTE,Mato Grosso,149387,108966
02/2023,CENTRO OESTE,Mato Grosso do Sul,40606,35431
02/2023,NORDESTE,Alagoas,25590,36135
02/2023,NORDESTE,Bahia,500,
02/2023,NORDESTE,Paraíba,13182,31402
02/2023,NORDESTE,Pernambuco,20241,20274
02/2023,NORDESTE,Rio Grande do Norte,8698,6537
02/2023,NORDESTE,Sergipe,10875,2844
02/2023,SUDESTE,Minas Gerais,3046,
02/2023,SUDESTE,São Paulo,30442,3866
02/2023,SUL,Paraná,,4081
02/2023,SUL,Rio Grande do Sul,2,
01/2023,CENTRO OESTE,Goiás,33068,5448
01/2023,CENTRO OESTE,Mato Grosso,144904,124028
01/2023,CENTRO OESTE,Mato Grosso do Sul,49039,63891
01/2023,NORDESTE,Alagoas,25470,40986
01/2023,NORDESTE,Bahia,422,
01/2023,NORDESTE,Paraíba,10669,45353
01/2023,NORDESTE,Pernambuco,19960,31874
01/2023,NORDESTE,Rio Grande do Norte,12943,8440
01/2023,NORDESTE,Sergipe,11322,3292
01/2023,SUDESTE,Minas Gerais,664,
01/2023,SUDESTE,São Paulo,16231,3283
01/2023,SUL,Paraná,409,3663
01/2023,SUL,Rio Grande do Sul,1,
12/2022,CENTRO OESTE,Goiás,53960,3952
12/2022,CENTRO OESTE,Mato Grosso,172272,137742
12/2022,CENTRO OESTE,Mato Grosso do Sul,100734,118772
12/2022,NORDESTE,Alagoas,27381,32527
12/2022,NORDESTE,Bahia,4107,5208
12/2022,NORDESTE,Paraíba,19421,47411
12/2022,NORDESTE,Pernambuco,23450,32296
12/2022,NORDESTE,Piauí,2520,
12/2022,NORDESTE,Rio Grande do Norte,14989,6560
12/2022,NORDESTE,Sergipe,14237,2400
12/2022,SUDESTE,Minas Gerais,15653,11176
12/2022,SUDESTE,São Paulo,100966,38785
12/2022,SUL,Paraná,31137,38452
12/2022,SUL,Rio Grande do Sul,2,
11/2022,CENTRO OESTE,Goiás,218996,53234
11/2022,CENTRO OESTE,Mato Grosso,194552,125359
11/2022,CENTRO OESTE,Mato Grosso do Sul,176793,163492
11/2022,NORDESTE,Alagoas,27182,32065
11/2022,NORDESTE,Bahia,17019,10530
11/2022,NORDESTE,Maranhão,5,4168
11/2022,NORDESTE,Paraíba,27097,36932
11/2022,NORDESTE,Pernambuco,19506,29346
11/2022,NORDESTE,Piauí,4702,2334
11/2022,NORDESTE,Rio Grande do Norte,14856,5726
11/2022,NORDESTE,Sergipe,10802,3152
11/2022,NORTE,Amazonas,578,
11/2022,NORTE,Pará,1626,5652
11/2022,NORTE,Tocantins,9855,3943
11/2022,SUDESTE,Espírito Santo,54,2610
11/2022,SUDESTE,Minas Gerais,75920,86404
11/2022,SUDESTE,São Paulo,495262,511823
11/2022,SUL,Paraná,58195,94274
11/2022,SUL,Rio Grande do Sul,2,
10/2022,CENTRO OESTE,Goiás,408739,108447
10/2022,CENTRO OESTE,Mato Grosso,229892,174639
10/2022,CENTRO OESTE,Mato Grosso do Sul,161740,136663
10/2022,NORDESTE,Alagoas,31702,33969
10/2022,NORDESTE,Bahia,34062,21248
10/2022,NORDESTE,Maranhão,1997,22800
10/2022,NORDESTE,Paraíba,23438,40723
10/2022,NORDESTE,Pernambuco,17390,32536
10/2022,NORDESTE,Piauí,957,6986
10/2022,NORDESTE,Rio Grande do Norte,11458,6882
10/2022,NORDESTE,Sergipe,10508,3168
10/2022,NORTE,Amazonas,2127,
10/2022,NORTE,Pará,1989,7619
10/2022,NORTE,Tocantins,11956,16610
10/2022,SUDESTE,Espírito Santo,1636,7469
10/2022,SUDESTE,Minas Gerais,134844,154843
10/2022,SUDESTE,Rio de Janeiro,2989,
10/2022,SUDESTE,São Paulo,667935,702543
10/2022,SUL,Paraná,46140,60792
10/2022,SUL,Rio Grande do Sul,2,
09/2022,CENTRO OESTE,Goiás,580228,142077
09/2022,CENTRO OESTE,Mato Grosso,275380,174211
09/2022,CENTRO OESTE,Mato Grosso do Sul,230994,137939
09/2022,NORDESTE,Alagoas,18488,10775
09/2022,NORDESTE,Bahia,23842,25638
09/2022,NORDESTE,Maranhão,2728,20559
09/2022,NORDESTE,Paraíba,18427,40650
09/2022,NORDESTE,Pernambuco,11448,18124
09/2022,NORDESTE,Piauí,894,7110
09/2022,NORDESTE,Rio Grande do Norte,8907,6794
09/2022,NORDESTE,Sergipe,2872,159
09/2022,NORTE,Amazonas,1108,
09/2022,NORTE,Pará,1906,7814
09/2022,NORTE,Tocantins,11062,14056
09/2022,SUDESTE,Espírito Santo,2564,10385
09/2022,SUDESTE,Minas Gerais,228789,186471
09/2022,SUDESTE,Rio de Janeiro,13397,
09/2022,SUDESTE,São Paulo,735534,748283
09/2022,SUL,Paraná,49361,66094
09/2022,SUL,Rio Grande do Sul,1,
08/2022,CENTRO OESTE,Goiás,652407,208582
08/2022,CENTRO OESTE,Mato Grosso,275559,171115
08/2022,CENTRO OESTE,Mato Grosso do Sul,257053,146642
08/2022,NORDESTE,Bahia,25956,27269
08/2022,NORDESTE,Maranhão,2737,21108
08/2022,NORDESTE,Paraíba,9359,30765
08/2022,NORDESTE,Pernambuco,4107,1392
08/2022,NORDESTE,Piauí,1726,7466
08/2022,NORDESTE,Rio Grande do Norte,5188,1708
08/2022,NORTE,Amazonas,772,
08/2022,NORTE,Pará,2054,7130
08/2022,NORTE,Tocantins,14012,16286
08/2022,SUDESTE,Espírito Santo,1695,15232
08/2022,SUDESTE,Minas Gerais,290160,213878
08/2022,SUDESTE,Rio de Janeiro,19605,
08/2022,SUDESTE,São Paulo,982777,888319
08/2022,SUL,Paraná,60588,79028
07/2022,CENTRO OESTE,Goiás,648001,192068
07/2022,CENTRO OESTE,Mato Grosso,279487,203092
07/2022,CENTRO OESTE,Mato Grosso do Sul,312066,172070
07/2022,NORDESTE,Bahia,34368,22037
07/2022,NORDESTE,Maranhão,2892,21399
07/2022,NORDESTE,Paraíba,2378,3665
07/2022,NORDESTE,Piauí,4409,4019
07/2022,NORTE,Pará,2126,6067
07/2022,NORTE,Tocantins,17102,13902
07/2022,SUDESTE,Espírito Santo,2598,16917
07/2022,SUDESTE,Minas Gerais,277944,216124
07/2022,SUDESTE,Rio de Janeiro,26801,
07/2022,SUDESTE,São Paulo,1131758,969316
07/2022,SUL,Paraná,91956,103313
06/2022,CENTRO OESTE,Goiás,558810,149066
06/2022,CENTRO OESTE,Mato Grosso,249094,187190
06/2022,CENTRO OESTE,Mato Grosso do Sul,249786,144598
06/2022,NORDESTE,Bahia,31351,11969
06/2022,NORDESTE,Maranhão,1474,18081
06/2022,NORDESTE,Piauí,1910,
06/2022,NORTE,Pará,1603,5306
06/2022,NORTE,Tocantins,19435,12549
06/2022,SUDESTE,Espírito Santo,3247,15654
06/2022,SUDESTE,Minas Gerais,255247,180970
06/2022,SUDESTE,Rio de Janeiro,27385,
06/2022,SUDESTE,São Paulo,932176,810273
06/2022,SUL,Paraná,63107,53569
06/2022,SUL,Rio Grande do Sul,1,
05/2022,CENTRO OESTE,Goiás,523939,183521
05/2022,CENTRO OESTE,Mato Grosso,285142,124887
05/2022,CENTRO OESTE,Mato Grosso do Sul,242113,106652
05/2022,NORDESTE,Bahia,23907,8192
05/2022,NORDESTE,Maranhão,1016,18754
05/2022,NORDESTE,Pernambuco,88,
05/2022,NORTE,Pará,1568,711
05/2022,NORTE,Tocantins,10540,15450
05/2022,SUDESTE,Espírito Santo,2801,13714
05/2022,SUDESTE,Minas Gerais,249993,139097
05/2022,SUDESTE,Rio de Janeiro,18356,
05/2022,SUDESTE,São Paulo,982010,707557
05/2022,SUL,Paraná,74890,68568
05/2022,SUL,Rio Grande do Sul,1,
04/2022,CENTRO OESTE,Goiás,266133,35953
04/2022,CENTRO OESTE,Mato Grosso,229911,44761
04/2022,CENTRO OESTE,Mato Grosso do Sul,153914,26441
04/2022,NORDESTE,Alagoas,3252,
04/2022,NORDESTE,Bahia,7754,452
04/2022,NORDESTE,Maranhão,5,3387
04/2022,NORDESTE,Paraíba,4028,
04/2022,NORDESTE,Pernambuco,3032,1119
04/2022,NORTE,Pará,,60
04/2022,NORTE,Tocantins,18001,378
04/2022,SUDESTE,Espírito Santo,1572,5752
04/2022,SUDESTE,Minas Gerais,132726,37895
04/2022,SUDESTE,Rio de Janeiro,1635,
04/2022,SUDESTE,São Paulo,354980,175177
04/2022,SUL,Paraná,19262,18283
03/2022,CENTRO OESTE,Goiás,63604,899
03/2022,CENTRO OESTE,Mato Grosso,183684,78150
03/2022,CENTRO OESTE,Mato Grosso do Sul,27231,11790
03/2022,NORDESTE,Alagoas,31852,7606
03/2022,NORDESTE,Paraíba,10681,
03/2022,NORDESTE,Pernambuco,10149,5490
03/2022,NORDESTE,Sergipe,1542,
03/2022,NORTE,Pará,984,
03/2022,NORTE,Tocantins,4438,
03/2022,SUDESTE,Minas Gerais,6160,
03/2022,SUDESTE,São Paulo,5254,
03/2022,SUL,Paraná,692,3170
02/2022,CENTRO OESTE,Goiás,36997,2882
02/2022,CENTRO OESTE,Mato Grosso,173170,69473
02/2022,NORDESTE,Alagoas,33547,24428
02/2022,NORDESTE,Paraíba,4202,6956
02/2022,NORDESTE,Pernambuco,31143,12893
02/2022,NORDESTE,Sergipe,9254,2453
02/2022,SUDESTE,Minas Gerais,655,
02/2022,SUDESTE,São Paulo,9960,40
02/2022,SUL,Paraná,641,2328
01/2022,CENTRO OESTE,Goiás,25726,6303
01/2022,CENTRO OESTE,Mato Grosso,194898,75859
01/2022,NORDESTE,Alagoas,34929,35204
01/2022,NORDESTE,Paraíba,11508,24220
01/2022,NORDESTE,Pernambuco,37269,17960
01/2022,NORDESTE,Rio Grande do Norte,7345,1396
01/2022,NORDESTE,Sergipe,14470,4088
01/2022,NORTE,Amazonas,1310,
01/2022,NORTE,Pará,,158
01/2022,SUDESTE,Minas Gerais,3,
01/2022,SUDESTE,São Paulo,10328,3002
01/2022,SUL,Paraná,2295,1416
01/2022,SUL,Rio Grande do Sul,1,
12/2021,CENTRO OESTE,Goiás,56261,10776
12/2021,CENTRO OESTE,Mato Grosso,198026,72725
12/2021,CENTRO OESTE,Mato Grosso do Sul,1644,83
12/2021,NORDESTE,Alagoas,39152,33758
12/2021,NORDESTE,Bahia,515,1112
12/2021,NORDESTE,Maranhão,,5696
12/2021,NORDESTE,Paraíba,18141,37760
12/2021,NORDESTE,Pernambuco,44666,19850
12/2021,NORDESTE,Piauí,3159,
12/2021,NORDESTE,Rio Grande do Norte,14336,2752
12/2021,NORDESTE,Sergipe,14765,5162
12/2021,NORTE,Amazonas,1180,
12/2021,NORTE,Pará,334,5416
12/2021,SUDESTE,Espírito Santo,438,208
12/2021,SUDESTE,Minas Gerais,2382,4756
12/2021,SUDESTE,Rio de Janeiro,182,
12/2021,SUDESTE,São Paulo,20655,9782
12/2021,SUL,Paraná,2786,6747
11/2021,CENTRO OESTE,Goiás,164522,45687
11/2021,CENTRO OESTE,Mato Grosso,221630,87697
11/2021,CENTRO OESTE,Mato Grosso do Sul,64005,38243
11/2021,NORDESTE,Alagoas,39730,41128
11/2021,NORDESTE,Bahia,10671,13445
11/2021,NORDESTE,Maranhão,5,12145
11/2021,NORDESTE,Paraíba,22080,43935
11/2021,NORDESTE,Pernambuco,37120,33696
11/2021,NORDESTE,Piauí,2116,3522
11/2021,NORDESTE,Rio Grande do Norte,16463,4811
11/2021,NORDESTE,Sergipe,18901,4131
11/2021,NORTE,Amazonas,1725,
11/2021,NORTE,Pará,2144,4863
11/2021,NORTE,Tocantins,8623,8807
11/2021,SUDESTE,Espírito Santo,1466,5453
11/2021,SUDESTE,Minas Gerais,51413,43822
11/2021,SUDESTE,Rio de Janeiro,4312,
11/2021,SUDESTE,São Paulo,163261,157494
11/2021,SUL,Paraná,31277,59800
10/2021,CENTRO OESTE,Goiás,356439,129095
10/2021,CENTRO OESTE,Mato Grosso,260988,147303
10/2021,CENTRO OESTE,Mato Grosso do Sul,106427,54960
10/2021,NORDESTE,Alagoas,40396,33810
10/2021,NORDESTE,Bahia,19754,14559
10/2021,NORDESTE,Maranhão,11,16096
10/2021,NORDESTE,Paraíba,19300,46374
10/2021,NORDESTE,Pernambuco,39030,31553
10/2021,NORDESTE,Piauí,580,6501
10/2021,NORDESTE,Rio Grande do Norte,11953,8607
10/2021,NORDESTE,Sergipe,19302,3314
10/2021,NORTE,Amazonas,1272,
10/2021,NORTE,Pará,1357,7453
10/2021,NORTE,Tocantins,7975,14111
10/2021,SUDESTE,Espírito Santo,2102,8302
10/2021,SUDESTE,Minas Gerais,140693,120844
10/2021,SUDESTE,Rio de Janeiro,9854,
10/2021,SUDESTE,São Paulo,488465,436932
10/2021,SUL,Paraná,25794,40064
09/2021,CENTRO OESTE,Goiás,568162,189987
09/2021,CENTRO OESTE,Mato Grosso,276261,168367
09/2021,CENTRO OESTE,Mato Grosso do Sul,227520,123638
09/2021,NORDESTE,Alagoas,20815,14170
09/2021,NORDESTE,Bahia,28913,17246
09/2021,NORDESTE,Maranhão,2501,25145
09/2021,NORDESTE,Paraíba,15499,40963
09/2021,NORDESTE,Pernambuco,23813,11254
09/2021,NORDESTE,Piauí,2446,5742
09/2021,NORDESTE,Rio Grande do Norte,5546,9769
09/2021,NORDESTE,Sergipe,1710,
09/2021,NORTE,Amazonas,1639,
09/2021,NORTE,Pará,3332,5484
09/2021,NORTE,Tocantins,14641,12816
09/2021,SUDESTE,Espírito Santo,2441,11231
09/2021,SUDESTE,Minas Gerais,252495,187123
09/2021,SUDESTE,Rio de Janeiro,25700,
09/2021,SUDESTE,São Paulo,1067366,887598
09/2021,SUL,Paraná,86245,84544
08/2021,CENTRO OESTE,Goiás,615193,229196
08/2021,CENTRO OESTE,Mato Grosso,282703,179472
08/2021,CENTRO OESTE,Mato Grosso do Sul,276115,127163
08/2021,NORDESTE,Alagoas,943,738
08/2021,NORDESTE,Bahia,28340,23642
08/2021,NORDESTE,Maranhão,2276,26815
08/2021,NORDESTE,Paraíba,14864,20227
08/2021,NORDESTE,Piauí,5895,2939
08/2021,NORDESTE,Rio Grande do Norte,2538,
08/2021,NORTE,Amazonas,572,
08/2021,NORTE,Pará,1558,6688
08/2021,NORTE,Tocantins,25446,6538
08/2021,SUDESTE,Espírito Santo,635,15213
08/2021,SUDESTE,Minas Gerais,287479,214806
08/2021,SUDESTE,Rio de Janeiro,30210,
08/2021,SUDESTE,São Paulo,1135592,960479
08/2021,SUL,Paraná,96841,87922
07/2021,CENTRO OESTE,Goiás,596726,229581
07/2021,CENTRO OESTE,Mato Grosso,297363,156893
07/2021,CENTRO OESTE,Mato Grosso do Sul,310332,122016
07/2021,NORDESTE,Bahia,29386,23656
07/2021,NORDESTE,Maranhão,1866,26488
07/2021,NORDESTE,Paraíba,2754,3823
07/2021,NORDESTE,Piauí,1507,6557
07/2021,NORTE,Pará,2836,6997
07/2021,NORTE,Tocantins,16960,12475
07/2021,SUDESTE,Espírito Santo,1325,15941
07/2021,SUDESTE,Minas Gerais,277757,211735
07/2021,SUDESTE,Rio de Janeiro,30931,
07/2021,SUDESTE,São Paulo,1110452,1008391
07/2021,SUL,Paraná,93257,91723
07/2021,SUL,Rio Grande do Sul,1,
06/2021,CENTRO OESTE,Goiás,529724,180131
06/2021,CENTRO OESTE,Mato Grosso,245534,147330
06/2021,CENTRO OESTE,Mato Grosso do Sul,238386,85257
06/2021,NORDESTE,Bahia,26856,16602
06/2021,NORDESTE,Maranhão,2053,21507
06/2021,NORDESTE,Piauí,1785,1392
06/2021,NORTE,Pará,1807,4715
06/2021,NORTE,Tocantins,10583,17946
06/2021,SUDESTE,Espírito Santo,1835,13208
06/2021,SUDESTE,Minas Gerais,217182,195066
06/2021,SUDESTE,Rio de Janeiro,15624,
06/2021,SUDESTE,São Paulo,999164,863876
06/2021,SUL,Paraná,54851,53077
05/2021,CENTRO OESTE,Goiás,463759,176917
05/2021,CENTRO OESTE,Mato Grosso,256907,90589
05/2021,CENTRO OESTE,Mato Grosso do Sul,306531,84743
05/2021,NORDESTE,Bahia,24954,7709
05/2021,NORDESTE,Maranhão,641,17176
05/2021,NORTE,Tocantins,7979,18097
05/2021,SUDESTE,Espírito Santo,2648,8962
05/2021,SUDESTE,Minas Gerais,231239,159330
05/2021,SUDESTE,Rio de Janeiro,8714,
05/2021,SUDESTE,São Paulo,1134782,789325
